    ,Ngày đăng bài,Tên,Giá,Năm SX,Nhiên liệu,Kiểu dáng,Tình trạng,Km đã đi,Hộp số,Xuất xứ,Tỉnh thành
517,06/10/2025,Toyota Innova 2.0 Venturer AT 2022,720 triệu,2022,Máy xăng,MPV,Xe cũ,100.000 km,Số tự động,Trong nước,Thuận An - Bình Dương
518,06/10/2025,VinFast Fadil Nâng Cao 2019,310 triệu,2019,Máy xăng,Hatchback,Xe cũ,40.000 km,Số tự động,Trong nước,Thuận An - Bình Dương
519,01/10/2025,Mercedes-Benz S500 2015,1 tỉ 100 triệu,2015,Máy xăng,Sedan,Xe cũ,70.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
520,01/10/2025,Land Rover Range Rover Vogue LR-SDV8 3.0 AT 2015,2 tỉ 260 triệu,2015,Máy xăng,SUV,Xe cũ,140.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
521,01/10/2025,Mercedes-Benz E400 AMG 2015,1 tỉ 280 triệu,2015,Máy xăng,Convertible,Xe cũ,70.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
522,01/10/2025,Toyota Camry 2.5G 2015,535 triệu,2015,Máy xăng,Sedan,Xe cũ,150.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
523,29/09/2025,Toyota Land Cruiser Prado VX 2019,1 tỉ 930 triệu,2019,Máy xăng,SUV,Xe cũ,150.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
524,26/09/2025,Lexus LS 460L 2009,770 triệu,2009,Máy xăng,Sedan,Xe cũ,112.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
525,26/09/2025,Mercedes-Benz S450L Luxury 2022,36 triệu,2022,Máy xăng,Sedan,Xe cũ,36.715 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
526,26/09/2025,Lexus RX 350 F-Sport 2019,2 tỉ 790 triệu,2019,Máy xăng,SUV,Xe cũ,129.984 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
527,25/09/2025,Mercedes-Benz E200 Exclusive V1 2022,1 tỉ 680 triệu,2022,Máy xăng,Sedan,Xe cũ,15.188 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
528,25/09/2025,Audi Q7 3.0 TFSI Quattro 2016,1 tỉ 099 triệu,2016,Máy xăng,SUV,Xe cũ,110.179 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
529,18/09/2025,Kia Carnival 2.2D Signature 2022,1 tỉ 175 triệu,2022,Máy dầu,MPV,Xe cũ,70.000 km,Số tự động,Trong nước,Quận 8 - Tp.HCM
530,12/09/2025,Mazda 3 Sedan 1.5L Luxury 2022,570 triệu,2022,Máy xăng,Sedan,Xe cũ,23.000 km,Số tự động,Trong nước,Quận 8 - Tp.HCM
531,15/09/2025,Kia Sorento 2.5G Premium 2022,919 triệu,2022,Máy xăng,SUV,Xe cũ,30.000 km,Số tự động,Trong nước,Quận 8 - Tp.HCM
532,15/09/2025,Lexus ES 250 2022,2 tỉ 150 triệu,2022,Máy xăng,Sedan,Xe cũ,28.000 km,Số tự động,Nhập khẩu,Quận 8 - Tp.HCM
533,25/09/2025,Hyundai Tucson 1.6 Turbo HTRAC 2023,869 triệu,2023,Máy xăng,SUV,Xe cũ,13.689 km,Số tự động,Trong nước,Hoàng Mai - Hà Nội
534,12/09/2025,VinFast LUX A2.0 Nâng cao 2021,545 triệu,2021,Máy xăng,Sedan,Xe cũ,79.000 km,Số tự động,Trong nước,Thanh Xuân - Hà Nội
535,26/09/2025,Toyota Yaris Cross Xăng 2024,635 triệu,2024,Máy xăng,Crossover,Xe cũ,28.000 km,Số tự động,Nhập khẩu,Nam Từ Liêm - Hà Nội
536,25/09/2025,Toyota Corolla Cross 1.8 V 2021,675 triệu,2021,Máy xăng,Crossover,Xe cũ,72.000 km,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội
537,17/09/2025,Toyota Corolla Altis 1.8 G 2016,475 triệu,2016,Máy xăng,Sedan,Xe cũ,35.000 km,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội
538,12/09/2025,Toyota Innova 2.0G 2017,495 triệu,2017,Máy xăng,MPV,Xe cũ,150.000 km,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội
539,25/09/2025,Ford EcoSport Titanium 1.5L AT 2019,420 triệu,2019,Máy xăng,SUV,Xe cũ,27.000 km,Số tự động,Trong nước,Khánh Hòa
540,25/09/2025,Ford EcoSport Titanium 1.5L AT 2019,420 triệu,2019,Máy xăng,SUV,Xe cũ,27.000 km,Số tự động,Trong nước,Khánh Hòa
541,25/09/2025,Mitsubishi Xpander Cross 1.5 AT 2020,450 triệu,2020,Máy xăng,MPV,Xe cũ,180.000 km,Số tự động,Nhập khẩu,Hà Nội
542,05/10/2025,Hyundai Kona 2.0 AT Đặc biệt 2020,498 triệu,2020,Máy xăng,SUV,Xe cũ,29.000 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
543,08/09/2025,Hyundai Elantra 1.8 MT 2019,340 triệu,2019,Máy xăng,Sedan,Xe cũ,68.888 km,Số sàn,Trong nước,Hải Phòng
544,08/09/2025,Kia Cerato 1.6 AT Deluxe 2009,210 triệu,2009,Máy xăng,Sedan,Xe cũ,150.000 km,Số tự động,Nhập khẩu,Hải Phòng
545,08/09/2025,Kia K3 1.6AT 2013,315 triệu,2013,Máy xăng,Sedan,Xe cũ,150.000 km,Số tự động,Trong nước,Hải Phòng
546,05/10/2025,Mercedes-Benz S450L 2019,2 tỉ 099 triệu,2019,Máy xăng,Sedan,Xe cũ,70.000 km,Số tự động,Trong nước,Tp.HCM
547,30/09/2025,Mercedes-Benz S400 3.0 V6 2015,1 tỉ 280 triệu,2015,Máy xăng,Sedan,Xe cũ,60.000 km,Số tự động,Nhập khẩu,Tây Hồ - Hà Nội
548,30/09/2025,BMW 320i Executive 2014,460 triệu,2014,Máy xăng,Sedan,Xe cũ,80.000 km,Số tự động,Nhập khẩu,Tây Hồ - Hà Nội
549,30/09/2025,Mercedes-Benz S500 2014,1 tỉ 160 triệu,2014,Máy xăng,Sedan,Xe cũ,80.000 km,Số tự động,Nhập khẩu,Tây Hồ - Hà Nội
550,03/10/2025,Hyundai Grand i10 Hatchback 1.2 AT 2024,415 triệu,2024,Máy xăng,Hatchback,Xe cũ,16.000 km,Số tự động,Trong nước,Quốc Oai - Hà Nội
551,16/09/2025,Kia Morning 2018,278 triệu,2018,Máy xăng,Hatchback,Xe cũ,50.000 km,Số tự động,Trong nước,Quốc Oai - Hà Nội
552,25/09/2025,Honda Civic 1.8 AT 2018,465 triệu,2018,Máy xăng,Sedan,Xe cũ,50.000 km,Số tự động,Trong nước,Quận 10 - Tp.HCM
553,05/10/2025,Mazda CX-8 Premium 2023,890 triệu,2023,Máy xăng,SUV,Xe cũ,54.000 km,Số tự động,Trong nước,Thanh Xuân - Hà Nội
554,15/09/2025,Mercedes-Benz GLC 300 4Matic 2017,899 triệu,2017,Máy xăng,SUV,Xe cũ,66.000 km,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM
555,25/09/2025,BMW 320i Sport Line 2022,1 tỉ 260 triệu,2022,Máy xăng,Sedan,Xe cũ,42.000 km,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM
556,01/10/2025,Toyota Camry LE 2.4 2007,268 triệu,2007,Máy xăng,Sedan,Xe cũ,10 km,Số tự động,Nhập khẩu,Nam Từ Liêm - Hà Nội
557,01/10/2025,Mazda 3 2.0L Sedan 2015,368 triệu,2015,Máy xăng,Sedan,Xe cũ,08 km,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội
558,03/10/2025,Ford Escape XLT 3.0 AT 4X4 2002,68 triệu,2002,Máy xăng,SUV,Xe cũ,15 km,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội
559,13/09/2025,Land Rover Range Rover AutoBiography 3.0 2013,1 tỉ 999 triệu,2013,Máy xăng,SUV,Xe cũ,115.000 km,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM
560,04/10/2025,Mercedes-Benz GLC 250 4Matic 2017,799 triệu,2017,Máy xăng,SUV,Xe cũ,81.000 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
561,05/10/2025,Mercedes-Benz C200 Exclusive 2012,288 triệu,2012,Máy xăng,Sedan,Xe cũ,80.000 km,Số tự động,Nhập khẩu,Quận 1 - Tp.HCM
562,15/09/2025,Mercedes-Benz GLC 250 2017,839 triệu,2017,Máy xăng,SUV,Xe cũ,78.000 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
563,10/09/2025,Toyota Corolla Altis 2014,415 triệu,2014,Máy xăng,N/A,Xe cũ,180.000 km,Số tự động,Trong nước,Ba Đình - Hà Nội
564,30/09/2025,Toyota Veloz Cross 1.5 CVT TOP 2022,555 triệu,2022,Máy xăng,N/A,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Nam Định - Nam Định
565,05/10/2025,Hyundai Grand i10 Sedan 1.2 MT 2016,159 triệu,2016,Máy xăng,Sedan,Xe cũ,150.000 km,Số sàn,Nhập khẩu,Khoái Châu - Hưng Yên
566,05/10/2025,Kia Rondo 1.7 DAT 2015,350 triệu,2015,Máy dầu,SUV,Xe cũ,130.000 km,Số tự động,Trong nước,Khoái Châu - Hưng Yên
567,27/09/2025,Kia Morning 1.25 MT 2016,152 triệu,2016,Máy xăng,Hatchback,Xe cũ,130.000 km,Số sàn,Trong nước,Khoái Châu - Hưng Yên
568,02/10/2025,Toyota Vios 1.5E MT 2015,220 triệu,2015,Máy xăng,Sedan,Xe cũ,12.400 km,Số sàn,Trong nước,Củ Chi - Tp.HCM
569,24/09/2025,Toyota Corolla Altis 1.8 G 2009,285 triệu,2009,Máy xăng,Sedan,Xe cũ,93.500 km,Số tự động,Trong nước,Hà Nội
570,24/09/2025,Toyota Corolla Altis 1.8 G 2009,285 triệu,2009,Máy xăng,Sedan,Xe cũ,93.500 km,Số tự động,Trong nước,Hà Nội
571,04/10/2025,Hyundai Stargazer 1.5 AT Đặc biệt 2022,479 triệu,2022,Máy xăng,MPV,Xe cũ,53.000 km,Số tự động,Nhập khẩu,Tp.HCM
572,22/09/2025,Lexus LX 570 Super Sport 2019,7 tỉ 449 triệu,2019,Máy xăng,SUV,Xe cũ,41.000 km,Số tự động,Nhập khẩu,Gò Vấp - Tp.HCM
573,10/09/2025,Lexus RX 350 Luxury 2023,4 tỉ 379 triệu,2023,Máy xăng,SUV,Xe cũ,10.000 km,Số tự động,Nhập khẩu,Gò Vấp - Tp.HCM
574,26/09/2025,Lexus GX 460 2012,1 tỉ 480 triệu,2012,Máy xăng,SUV,Xe cũ,104.000 km,Số tự động,Nhập khẩu,Gò Vấp - Tp.HCM
575,03/10/2025,Mazda CX-5 2.0 Premium 2022,730 triệu,2022,Máy xăng,SUV,Xe cũ,50.836 km,Số tự động,Trong nước,Thanh Xuân - Hà Nội
576,03/10/2025,VinFast LUX A2.0 Tiêu chuẩn 2022,535 triệu,2022,Máy xăng,Sedan,Xe cũ,48.609 km,Số tự động,Trong nước,Thanh Xuân - Hà Nội
577,03/10/2025,Mazda CX-5 2.0 Luxury 2021,675 triệu,2021,Máy xăng,SUV,Xe cũ,65.819 km,Số tự động,Trong nước,Thanh Xuân - Hà Nội
578,24/09/2025,Toyota Fortuner 2.7V 2020,755 triệu,2020,Máy xăng,SUV,Xe cũ,66.127 km,Số tự động,Nhập khẩu,Thanh Xuân - Hà Nội
579,18/09/2025,Mercedes-Benz GLC 300 4Matic 2021,1 tỉ 535 triệu,2021,Máy xăng,SUV,Xe cũ,59.881 km,Số tự động,Nhập khẩu,Thanh Xuân - Hà Nội
580,11/09/2025,Ford Everest Titanium 2.0 AT 4x2 2019,810 triệu,2019,Máy dầu,SUV,Xe cũ,01 km,Số tự động,Nhập khẩu,Thanh Xuân - Hà Nội
581,03/10/2025,Peugeot 5008 1.6L Turbo 2020,680 triệu,2020,Máy xăng,SUV,Xe cũ,54.420 km,Số tự động,Nhập khẩu,Thanh Xuân - Hà Nội
582,03/10/2025,Kia Carnival 2.2D Luxury 2022,1 tỉ 165 triệu,2022,Máy dầu,MPV,Xe cũ,01 km,Số tự động,Trong nước,Thanh Xuân - Hà Nội
583,09/09/2025,Hyundai Tucson 2.0 Đặc biệt 2020,670 triệu,2020,Máy xăng,SUV,Xe cũ,53.187 km,Số tự động,Trong nước,Thanh Xuân - Hà Nội
584,09/09/2025,Lexus RX 300 F-Sport 2022,3 tỉ 050 triệu,2022,Máy xăng,SUV,Xe cũ,20.888 km,Số tự động,Nhập khẩu,Thanh Xuân - Hà Nội
585,18/09/2025,Mitsubishi Outlander 2.0 CVT 2023,735 triệu,2023,Máy xăng,SUV,Xe cũ,42.438 km,Số tự động,Trong nước,Thanh Xuân - Hà Nội
586,04/10/2025,Toyota Fortuner 2.4G 4x2 AT 2018,705 triệu,2018,Máy dầu,SUV,Xe cũ,100.000 km,Số sàn,Trong nước,Thủ Đức - Tp.HCM
587,04/10/2025,Toyota Fortuner 2.5G 4x2 MT 2019,735 triệu,2019,Máy dầu,Sedan,Xe cũ,71.000 km,Số sàn,Trong nước,Quận 8 - Tp.HCM
588,04/10/2025,Toyota Fortuner 2.4 MT 4x2 2017,655 triệu,2017,Máy dầu,SUV,Xe cũ,100.000 km,Số sàn,Trong nước,Thủ Đức - Tp.HCM
589,04/10/2025,Toyota Fortuner 2.7 V 4X2 AT 2015,490 triệu,2015,Máy xăng,SUV,Xe cũ,77.000 km,Số tự động,Trong nước,Thủ Đức - Tp.HCM
590,04/10/2025,Chevrolet Orlando 2014,315 triệu,2014,Máy xăng,N/A,Xe cũ,19.000 km,Số tự động,Nhập khẩu,Thủ Đức - Tp.HCM
591,04/10/2025,Toyota Fortuner 2.8 AT 4x4 Legender 2022,1 tỉ,2022,Máy xăng,N/A,Xe cũ,30.000 km,Số tự động,Nhập khẩu,Thủ Đức - Tp.HCM
592,04/10/2025,Honda CR-V 1.5 L 2021,775 triệu,2021,Máy xăng,SUV,Xe cũ,26.000 km,Số tự động,Trong nước,Thủ Đức - Tp.HCM
593,04/10/2025,Ford Everest 2.0L ST5 10AT 4x4 Titanium 2020,850 triệu,2020,Máy dầu,SUV,Xe cũ,50.000 km,Số tự động,Trong nước,Thủ Đức - Tp.HCM
594,03/10/2025,VinFast Fadil Tiêu Chuẩn 2021,288 triệu,2021,Máy xăng,Hatchback,Xe cũ,70.000 km,Số tự động,Trong nước,Hải An - Hải Phòng
595,03/10/2025,Hyundai Kona 2.0 AT Tiêu chuẩn 2020,465 triệu,2020,Máy xăng,Crossover,Xe cũ,58.000 km,Số tự động,Trong nước,Hải An - Hải Phòng
596,23/09/2025,Ford Ranger XLS 2.0L 4x2 AT 2015,410 triệu,2015,Máy dầu,Bán tải,Xe cũ,120.000 km,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội
597,22/09/2025,Ford Everest Sport 2.0 AT 4x2 2021,860 triệu,2021,Máy dầu,SUV,Xe cũ,58.000 km,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội
598,03/10/2025,Kia Cerato 1.6 AT Luxury 2020,475 triệu,2020,Máy xăng,Sedan,Xe cũ,70.000 km,Số tự động,Trong nước,Hải An - Hải Phòng
599,03/10/2025,Hyundai Kona 1.6 Turbo 2018,454 triệu,2018,Máy xăng,Crossover,Xe cũ,70.000 km,Số tự động,Trong nước,Hải An - Hải Phòng
600,04/10/2025,Lexus LM500h 6 ghế 2025,9 tỉ 290 triệu,2025,Hybrid,MPV,Xe cũ,2.000 km,Số tự động,Nhập khẩu,Ba Đình - Hà Nội
601,09/09/2025,Lexus RX 300 T 2019,2 tỉ 450 triệu,2019,Máy xăng,SUV,Xe cũ,65.000 km,Số tự động,Nhập khẩu,Ba Đình - Hà Nội
602,08/09/2025,Porsche Macan 2.0 2021,2 tỉ 750 triệu,2021,Máy xăng,SUV,Xe cũ,40.000 km,Số tự động,Nhập khẩu,Ba Đình - Hà Nội
603,29/09/2025,Hyundai Grand i10 Sedan 1.2 MT 2018,218 triệu,2018,Máy xăng,Sedan,Xe cũ,120.000 km,Số sàn,Trong nước,Khoái Châu - Hưng Yên
604,27/09/2025,Kia Morning SLX 1.0 AT 2008,128 triệu,2008,Máy xăng,Hatchback,Xe cũ,150.000 km,Số tự động,Nhập khẩu,Khoái Châu - Hưng Yên
605,29/09/2025,Hyundai Accent 1.4 AT 2020,399 triệu,2020,Máy xăng,Sedan,Xe cũ,70.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
606,12/09/2025,Mitsubishi Xpander AT Premium 2022,555 triệu,2022,Máy xăng,MPV,Xe cũ,24.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
607,29/09/2025,Hyundai Accent 1.4 AT 2022,420 triệu,2022,Máy xăng,Sedan,Xe cũ,48.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
608,16/09/2025,VinFast LUX A2.0 Cao cấp 2019,550 triệu,2019,Máy xăng,Sedan,Xe cũ,70.000 km,Số tự động,Trong nước,Hà Nội
609,29/09/2025,Ford Everest Titanium 2.0 AT 4x2 2023,1 tỉ 215 triệu,2023,Máy dầu,SUV,Xe cũ,29.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
610,26/09/2025,Honda CR-V 1.5 L 2022,865 triệu,2022,Máy xăng,SUV,Xe cũ,70.000 km,Số tự động,Trong nước,Quận 6 - Tp.HCM
611,26/09/2025,Toyota Camry 2.5Q 2022,1 tỉ 165 triệu,2022,Máy xăng,Sedan,Xe cũ,9.000 km,Số tự động,Trong nước,Quận 6 - Tp.HCM
612,02/10/2025,Mazda CX-5 2.5 2WD 2017,565 triệu,2017,Máy xăng,SUV,Xe cũ,90.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
613,24/09/2025,Hyundai i20 1.4 AT 2011,214 triệu,2011,Máy xăng,Hatchback,Xe cũ,100.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
614,18/09/2025,Mazda CX-5 2.5 2WD 2017,570 triệu,2017,Máy xăng,SUV,Xe cũ,96.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
615,08/09/2025,Hyundai i20 Active 1.4 AT 2017,355 triệu,2017,Máy xăng,SUV,Xe cũ,80.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
616,16/09/2025,Mazda CX-5 2.0 Premium 2017,495 triệu,2017,Máy xăng,Crossover,Xe cũ,100.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
617,16/09/2025,Hyundai Tucson 2.0 Tiêu chuẩn 2019,595 triệu,2019,Máy xăng,SUV,Xe cũ,60.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
618,04/10/2025,Suzuki XL7 1.5L 2022,430 triệu,2022,Máy xăng,SUV,Xe cũ,96.000 km,Số tự động,Nhập khẩu,Gò Vấp - Tp.HCM
619,03/10/2025,Mitsubishi Pajero Sport D 4x2 MT 2016,350 triệu,2016,Máy dầu,N/A,Xe cũ,120.000 km,Số sàn,Nhập khẩu,Bình Tân - Tp.HCM
620,24/09/2025,Kia Sportage 1.6 T Signature X-line AWD 2022,880 triệu,2022,Máy xăng,SUV,Xe cũ,15.000 km,Số tự động,Nhập khẩu,Quận 6 - Tp.HCM
621,27/09/2025,Hyundai Grand i10 Hatchback 1.2 AT 2020,345 triệu,2020,Máy xăng,Hatchback,Xe cũ,33.000 km,Số tự động,Trong nước,Quận 6 - Tp.HCM
622,03/10/2025,Hyundai Accent 1.4 AT Đặc biệt 2023,465 triệu,2023,Máy xăng,Sedan,Xe cũ,40.000 km,Số tự động,Trong nước,Quận 6 - Tp.HCM
623,23/09/2025,Mitsubishi Xpander 1.5 MT 2019,340 triệu,2019,Máy xăng,MPV,Xe cũ,78.000 km,Số sàn,Nhập khẩu,Di Linh - Lâm Đồng
624,03/10/2025,Mitsubishi Xpander 1.5 AT 2020,450 triệu,2020,Máy xăng,MPV,Xe cũ,10.000 km,Số tự động,Trong nước,Hà Nội
625,16/09/2025,VinFast VF9 Plus 2023,1 tỉ 269 triệu,2023,Máy xăng,SUV,Xe cũ,26.000 km,Số tự động,Trong nước,Long Biên - Hà Nội
626,30/09/2025,Ford EcoSport Titanium 1.5L AT 2017,350 triệu,2017,Máy xăng,SUV,Xe cũ,87.000 km,Số tự động,Trong nước,Tân Phú - Tp.HCM
627,30/09/2025,Ford Ranger XLS 2.2L 4x2 MT 2019,485 triệu,2019,Máy dầu,Bán tải,Xe cũ,85.000 km,Số sàn,Trong nước,Tân Phú - Tp.HCM
628,23/09/2025,Ford Transit Tiêu chuẩn 2019,545 triệu,2019,Máy dầu,Van/Minivan,Xe cũ,61.000 km,Số sàn,Trong nước,Tân Phú - Tp.HCM
629,30/09/2025,Ford Focus S 2.0AT 2013,338 triệu,2013,Máy xăng,Hatchback,Xe cũ,89.000 km,Số tự động,Trong nước,Tân Phú - Tp.HCM
630,30/09/2025,Ford Focus S 2.0AT 2013,338 triệu,2013,Máy xăng,Hatchback,Xe cũ,89.000 km,Số tự động,Trong nước,Tân Phú - Tp.HCM
631,30/09/2025,Ford Focus 1.8L 2009,185 triệu,2009,Máy xăng,Sedan,Xe cũ,98.000 km,Số sàn,Trong nước,Tân Phú - Tp.HCM
632,24/09/2025,Daewoo Gentra 2010,70 triệu,2010,Máy xăng,Sedan,Xe cũ,45 km,Số sàn,Trong nước,Tân Yên - Bắc Giang
633,10/09/2025,Ford Everest 2.5 MT 2005,122 triệu,2005,Máy dầu,SUV,Xe cũ,30 km,Số sàn,Trong nước,Tân Yên - Bắc Giang
634,03/10/2025,Kia Sedona 2.2 Luxury 2020,815 triệu,2020,Máy dầu,MPV,Xe cũ,69.000 km,Số tự động,Trong nước,Quận 10 - Tp.HCM
635,03/10/2025,Toyota Innova 2.0E 2020,488 triệu,2020,Máy xăng,MPV,Xe cũ,78.000 km,Số sàn,Trong nước,Quận 10 - Tp.HCM
636,12/09/2025,Mitsubishi Outlander 2.0 CVT 2019,515 triệu,2019,Máy xăng,SUV,Xe cũ,68.000 km,Số tự động,Trong nước,Quận 10 - Tp.HCM
637,12/09/2025,Chevrolet Captiva LTZ AT 2015,365 triệu,2015,Máy xăng,SUV,Xe cũ,67.000 km,Số tự động,Trong nước,Quận 10 - Tp.HCM
638,26/09/2025,Mercedes-Benz C250 Exclusive 2017,666 triệu,2017,Máy xăng,Sedan,Xe cũ,91 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
639,24/09/2025,Mercedes-Benz GLC 250 4Matic 2018,839 triệu,2018,Máy xăng,SUV,Xe cũ,76 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
640,24/09/2025,Mercedes-Benz GLC 200 4Matic 2022,1 tỉ 399 triệu,2022,Máy xăng,SUV,Xe cũ,40.000 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
641,24/09/2025,Mercedes-Benz GLC 200 4Matic 2021,1 tỉ 399 triệu,2021,Máy xăng,SUV,Xe cũ,60.000 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
642,24/09/2025,Mercedes-Benz GLC 300 4Matic 2019,1 tỉ 068 triệu,2019,Máy xăng,SUV,Xe cũ,85 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
643,24/09/2025,Mercedes-Benz C300 AMG 2017,777 triệu,2017,Máy xăng,Sedan,Xe cũ,97 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
644,24/09/2025,Porsche Cayenne 3.6 V6 2014,1 tỉ 179 triệu,2014,Máy xăng,SUV,Xe cũ,92.000 km,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM
645,12/09/2025,Mazda CX-8 Premium 2023,895 triệu,2023,Máy xăng,SUV,Xe cũ,54.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
646,03/10/2025,VinFast VF8 Eco 2023,730 triệu,2023,Điện,SUV,Xe cũ,30.000 km,Số tự động,Trong nước,Tân Phú - Tp.HCM
647,03/10/2025,Kia Sonet 1.5 Luxury 2023,517 triệu,2023,Máy xăng,Crossover,Xe cũ,21.000 km,Số tự động,Trong nước,Tân Phú - Tp.HCM
648,03/10/2025,Honda City RS 2022,487 triệu,2022,Máy xăng,Sedan,Xe cũ,21.000 km,Số tự động,Trong nước,Tân Phú - Tp.HCM
649,03/10/2025,Hyundai Elantra 1.6 AT Đặc biệt 2023,585 triệu,2023,Máy xăng,Sedan,Xe cũ,38.000 km,Số tự động,Trong nước,Tân Phú - Tp.HCM
650,03/10/2025,VinFast VF8 Eco 2023,790 triệu,2023,Điện,SUV,Xe cũ,42.000 km,Số tự động,Trong nước,Thuận An - Bình Dương
651,16/09/2025,VinFast VF8 Eco 2023,770 triệu,2023,Điện,SUV,Xe cũ,42.000 km,Số tự động,Trong nước,Thuận An - Bình Dương
652,16/09/2025,VinFast VF8 Plus 2022,840 triệu,2022,Điện,N/A,Xe cũ,50.000 km,Số tự động,Trong nước,Thuận An - Bình Dương
653,10/09/2025,VinFast VF8 Eco 2023,800 triệu,2023,Điện,SUV,Xe cũ,48.000 km,Số tự động,Trong nước,Thuận An - Bình Dương
654,16/09/2025,Honda City 1.5 CVT 2014,296 triệu,2014,Máy xăng,Sedan,Xe cũ,132.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
655,11/09/2025,Hyundai i20 1.4 AT 2012,226 triệu,2012,Máy xăng,Hatchback,Xe cũ,91.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
656,09/09/2025,Toyota Innova 2.0E 2017,396 triệu,2017,Máy xăng,MPV,Xe cũ,110.000 km,Số sàn,Trong nước,Cầu Giấy - Hà Nội
657,25/09/2025,Mazda 3 2022,567 triệu,2022,Máy xăng,N/A,Xe cũ,34.000 km,Số tự động,Trong nước,Tân Phú - Tp.HCM
658,22/09/2025,Ford Ranger XLS 2.0L 4x2 AT 2023,630 triệu,2023,Máy xăng,Bán tải,Xe cũ,36.000 km,Số tự động,Trong nước,Tân Phú - Tp.HCM
659,22/09/2025,Kia K3 2.0 Premium 2022,579 triệu,2022,Máy xăng,N/A,Xe cũ,37.000 km,Số tự động,Trong nước,Tân Phú - Tp.HCM
660,19/09/2025,Hyundai Stargazer 1.5 AT Cao cấp 2022,485 triệu,2022,Máy xăng,MPV,Xe cũ,32.000 km,Số tự động,Trong nước,Tp.HCM
661,09/09/2025,Honda CR-V 1.5 L 2018,708 triệu,2018,Máy xăng,SUV,Xe cũ,100.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội
662,09/09/2025,VinFast Fadil Cao cấp 2021,319 triệu,2021,Máy xăng,Hatchback,Xe cũ,30.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội
663,03/10/2025,VinFast LUX SA2.0 Nâng cao 2021,730 triệu,2021,Máy xăng,SUV,Xe cũ,50.000 km,Số tự động,Trong nước,Thuận An - Bình Dương
664,03/10/2025,Ferrari 488 GTB 2015,13 tỉ,2015,Máy xăng,Sport Car,Xe cũ,46.000 km,Số tự động,Nhập khẩu,Thuận An - Bình Dương
665,08/09/2025,Kia Rio 1.4 AT 2015,299 triệu,2015,Máy xăng,Sedan,Xe cũ,150.000 km,Số tự động,Nhập khẩu,Hải Phòng
666,30/09/2025,Hyundai Veloster 2011,293 triệu,2011,Máy xăng,Coupe,Xe cũ,82.000 km,Số tự động,Nhập khẩu,Quận 1 - Tp.HCM
667,26/09/2025,Hyundai Grand i10 2014,145 triệu,2014,Máy xăng,Hatchback,Xe cũ,89.000 km,Số sàn,Nhập khẩu,Vinh - Nghệ An
668,21/09/2025,Hyundai Grand i10 2014,118 triệu,2014,Máy xăng,Hatchback,Xe cũ,101.000 km,Số sàn,Nhập khẩu,Hà Tĩnh - Hà Tĩnh
